run_id,timestamp,model_name,start_date,end_date,initial_capital,final_capital,total_pnl,return_percent,total_trades,winning_trades,losing_trades,win_rate_percent,max_drawdown,sharpe_ratio,news_articles_used,price_moves_used,database_version,notes
b8148240-78bd-4cd3-b9ac-ef03d2046654,2025-07-11 20:38:23.469500,direction_based_all,2025-06-11 20:38:11.886977,2025-07-11 20:38:11.886992,100000.0,108820.96336638927,8820.963366389275,8.820963366389273,50,50,0,100.0,,,50,50,postgresql_production,Publisher-specific backtest for all
bd198815-fb02-49eb-9ea2-ab29c15bad16,2025-07-11 20:38:17.988904,direction_based_globenewswire_biotech,2025-06-11 20:38:11.886977,2025-07-11 20:38:11.886992,100000.0,126814.75301296804,26814.753012968038,26.81475301296804,50,50,0,100.0,,,50,50,postgresql_production,Publisher-specific backtest for globenewswire_biotech
0a7f9ef6-c91f-463a-b838-2d3df43a4c3e,2025-07-11 20:35:00.496169,direction_based,2025-06-11 20:34:57.661504,2025-07-11 20:34:57.661520,100000.0,121225.67580610514,21225.675806105137,21.225675806105137,100,100,0,100.0,,,100,100,postgresql_production,"Strategy: direction_based, Events: all"
